# Lookup table for MRtrix command labelconvert
# Extracts the relevant grey matter parcellations from the default FreeSurfer segmentation (desikan_killiany), but segmentations are summarised into lobes and subcortical areas
# Cingulate nodes are included in the (approximately) relevant lobes
# This file is intended to be used for the label conversion process; the corresponding lookup table for interpreting the resulting labels is: fs2lobes_cinginc_labels.txt


0     Unknown

7     ctx-rh-bankssts
#x    ctx-rh-caudalanteriorcingulate
5     ctx-rh-caudalmiddlefrontal
3     ctx-rh-cuneus
7     ctx-rh-entorhinal
7     ctx-rh-fusiform
6     ctx-rh-inferiorparietal
7     ctx-rh-inferiortemporal
#x    ctx-rh-isthmuscingulate
3     ctx-rh-lateraloccipital
4     ctx-rh-lateralorbitofrontal
3     ctx-rh-lingual
4     ctx-rh-medialorbitofrontal
7     ctx-rh-middletemporal
7     ctx-rh-parahippocampal
4     ctx-rh-paracentral
4     ctx-rh-parsopercularis
4     ctx-rh-parsorbitalis
4     ctx-rh-parstriangularis
3     ctx-rh-pericalcarine
2     ctx-rh-postcentral
#x    ctx-rh-posteriorcingulate
1     ctx-rh-precentral
6    ctx-rh-precuneus
4     ctx-rh-rostralanteriorcingulate
4     ctx-rh-rostralmiddlefrontal
5     ctx-rh-superiorfrontal     
6     ctx-rh-superiorparietal    
7     ctx-rh-superiortemporal    
6     ctx-rh-supramarginal       
4     ctx-rh-frontalpole         
7     ctx-rh-temporalpole        
7     ctx-rh-transversetemporal  
#x    ctx-rh-insula
