# Glasser HCP-MMP1 FreeSurfer Color LUT
# Compatible with freeview -l and FreeSurferColorLUT format
# LH parcels: 1001-1180, RH parcels: 2001-2180
#
# ID  Name  R  G  B  A
1001   L_V1_ROI                                       63   5 255   0
1002   L_MST_ROI                                      54 103 129   0
1003   L_V6_ROI                                       62  78 178   0
1004   L_V2_ROI                                       23  50 233   0
1005   L_V3_ROI                                       15  40 226   0
1006   L_V4_ROI                                       14  28 214   0
1007   L_V8_ROI                                       26  47 201   0
1008   L_4_ROI                                        33 178  20   0
1009   L_3b_ROI                                       35 205  21   0
1010   L_FEF_ROI                                     134 143 137   0
1011   L_PEF_ROI                                     141 166 152   0
1012   L_55b_ROI                                      62  88  47   0
1013   L_V3A_ROI                                       7  57 246   0
1014   L_RSC_ROI                                     153  64 133   0
1015   L_POS2_ROI                                    186  86 188   0
1016   L_V7_ROI                                       18  70 195   0
1017   L_IPS1_ROI                                     57 114 160   0
1018   L_FFC_ROI                                      57  89 117   0
1019   L_V3B_ROI                                      25  47 206   0
1020   L_LO1_ROI                                       0  49 184   0
1021   L_LO2_ROI                                      18  33 181   0
1022   L_PIT_ROI                                      34  43 171   0
1023   L_MT_ROI                                       31  86 104   0
1024   L_A1_ROI                                      235  19  47   0
1025   L_PSL_ROI                                     122  79  56   0
1026   L_SFL_ROI                                      31  49  22   0
1027   L_PCV_ROI                                     138 128 153   0
1028   L_STV_ROI                                     142  87  76   0
1029   L_7Pm_ROI                                     149 181 188   0
1030   L_7m_ROI                                       42  31  44   0
1031   L_POS1_ROI                                     81  54  98   0
1032   L_23d_ROI                                     127  56  91   0
1033   L_v23ab_ROI                                    29   0  14   0
1034   L_d23ab_ROI                                    63  17  47   0
1035   L_31pv_ROI                                     54  11  42   0
1036   L_5m_ROI                                       48 163  48   0
1037   L_5mv_ROI                                     153 172 136   0
1038   L_23c_ROI                                     205 190 194   0
1039   L_5L_ROI                                       64 154  64   0
1040   L_24dd_ROI                                     69 161  44   0
1041   L_24dv_ROI                                    119 159  66   0
1042   L_7AL_ROI                                     115 194 134   0
1043   L_SCEF_ROI                                    110 146  86   0
1044   L_6ma_ROI                                     144 179 135   0
1045   L_7Am_ROI                                     184 243 224   0
1046   L_7PL_ROI                                     169 246 237   0
1047   L_7PC_ROI                                      68 177 108   0
1048   L_LIPv_ROI                                     63 113 158   0
1049   L_VIP_ROI                                      50 129 137   0
1050   L_MIP_ROI                                     136 206 204   0
1051   L_1_ROI                                        20 191  38   0
1052   L_2_ROI                                        48 176  62   0
1053   L_3a_ROI                                       47 216  22   0
1054   L_6d_ROI                                       26 158  32   0
1055   L_6mp_ROI                                      64 159  38   0
1056   L_6v_ROI                                       71 168  50   0
1057   L_p24pr_ROI                                   146 136 107   0
1058   L_33pr_ROI                                    129 106 103   0
1059   L_a24pr_ROI                                   176 133 130   0
1060   L_p32pr_ROI                                   163 142 121   0
1061   L_a24_ROI                                      67  12  25   0
1062   L_d32_ROI                                      90  41  50   0
1063   L_8BM_ROI                                     105  83  81   0
1064   L_p32_ROI                                      95  32  52   0
1065   L_10r_ROI                                      25  12   1   0
1066   L_47m_ROI                                      96  75  66   0
1067   L_8Av_ROI                                      53  54  43   0
1068   L_8Ad_ROI                                      63  67  48   0
1069   L_9m_ROI                                       43  35  18   0
1070   L_8BL_ROI                                      34  39  20   0
1071   L_9p_ROI                                       38  43  28   0
1072   L_10d_ROI                                      38  35  24   0
1073   L_8C_ROI                                      101  85  84   0
1074   L_44_ROI                                       88  88  62   0
1075   L_45_ROI                                       60  63  42   0
1076   L_47l_ROI                                      51  49  31   0
1077   L_a47r_ROI                                     77  76  66   0
1078   L_6r_ROI                                      178 214 151   0
1079   L_IFJa_ROI                                    126 119  95   0
1080   L_IFJp_ROI                                    137 160 132   0
